episode,reward,episode_length,success,started_task,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate
1,21.910000000000007,83,1,1,1.0,1.0,1.0,1.0
2,21.330000000000005,137,1,1,1.0,1.0,1.0,1.0
3,20.995000000000005,177,1,1,1.0,1.0,1.0,1.0
4,20.96,160,1,1,1.0,1.0,1.0,1.0
5,22.400000000000002,46,1,1,1.0,1.0,1.0,1.0
6,21.745,86,1,1,1.0,1.0,1.0,1.0
7,22.790000000000003,51,1,1,1.0,1.0,1.0,1.0
8,-0.20500000000000118,200,0,1,0.875,0.875,1.0,1.0
9,22.470000000000002,38,1,1,0.8888888888888888,0.8888888888888888,1.0,1.0
10,21.315000000000012,156,1,1,0.9,0.9,1.0,1.0
11,22.185000000000002,50,1,1,0.9090909090909091,0.9090909090909091,1.0,1.0
12,22.55,30,1,1,0.9166666666666666,0.9166666666666666,1.0,1.0
13,22.650000000000002,23,1,1,0.9230769230769231,0.9230769230769231,1.0,1.0
14,22.605000000000004,40,1,1,0.9285714285714286,0.9285714285714286,1.0,1.0
15,22.895000000000003,37,1,1,0.9333333333333333,0.9333333333333333,1.0,1.0
16,21.765,69,1,1,0.9375,0.9375,1.0,1.0
17,21.67500000000001,143,1,1,0.9411764705882353,0.9411764705882353,1.0,1.0
18,21.875000000000007,121,1,1,0.9444444444444444,0.9444444444444444,1.0,1.0
19,22.72500000000001,71,1,1,0.9473684210526315,0.9473684210526315,1.0,1.0
20,22.34,29,1,1,0.95,0.95,1.0,1.0
21,1.100000000000013,200,0,1,0.9047619047619048,0.9047619047619048,1.0,1.0
22,0.6450000000000045,200,0,1,0.8636363636363636,0.8636363636363636,1.0,1.0
23,0.4000000000000048,200,0,1,0.8260869565217391,0.8260869565217391,1.0,1.0
24,0.3950000000000052,200,0,1,0.7916666666666666,0.7916666666666666,1.0,1.0
25,22.355000000000004,40,1,1,0.8,0.8,1.0,1.0
26,22.490000000000002,54,1,1,0.8076923076923077,0.8076923076923077,1.0,1.0
27,22.51,17,1,1,0.8148148148148148,0.8148148148148148,1.0,1.0
28,22.545,40,1,1,0.8214285714285714,0.8214285714285714,1.0,1.0
29,22.370000000000005,28,1,1,0.8275862068965517,0.8275862068965517,1.0,1.0
30,22.995,25,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
31,22.615000000000002,40,1,1,0.8387096774193549,0.8387096774193549,1.0,1.0
32,0.20000000000000118,200,0,1,0.8125,0.8125,1.0,1.0
33,22.380000000000006,66,1,1,0.8181818181818182,0.8181818181818182,1.0,1.0
34,21.760000000000016,167,1,1,0.8235294117647058,0.8235294117647058,1.0,1.0
35,22.14,26,1,1,0.8285714285714286,0.8285714285714286,1.0,1.0
36,22.10000000000001,123,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
37,21.990000000000002,68,1,1,0.8378378378378378,0.8378378378378378,1.0,1.0
38,1.1000000000000123,200,0,1,0.8157894736842105,0.8157894736842105,1.0,1.0
39,20.99,156,1,1,0.8205128205128205,0.8205128205128205,1.0,1.0
40,23.080000000000002,13,1,1,0.825,0.825,1.0,1.0
41,22.335000000000004,41,1,1,0.8292682926829268,0.8292682926829268,1.0,1.0
42,22.595000000000002,21,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
43,22.470000000000006,56,1,1,0.8372093023255814,0.8372093023255814,1.0,1.0
44,22.135,34,1,1,0.8409090909090909,0.8409090909090909,1.0,1.0
45,22.695000000000004,69,1,1,0.8444444444444444,0.8444444444444444,1.0,1.0
46,20.59,160,1,1,0.8478260869565217,0.8478260869565217,1.0,1.0
47,21.090000000000003,159,1,1,0.851063829787234,0.851063829787234,1.0,1.0
48,0.1650000000000025,200,0,1,0.8333333333333334,0.8333333333333334,1.0,1.0
49,22.365000000000006,38,1,1,0.8367346938775511,0.8367346938775511,1.0,1.0
50,0.7400000000000078,200,0,1,0.82,0.82,1.0,1.0
51,21.765000000000004,69,1,1,0.8235294117647058,0.8235294117647058,1.0,1.0
52,21.890000000000004,70,1,1,0.8269230769230769,0.8269230769230769,1.0,1.0
53,22.700000000000003,40,1,1,0.8301886792452831,0.8301886792452831,1.0,1.0
54,20.97500000000001,193,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
55,23.17,44,1,1,0.8363636363636363,0.8363636363636363,1.0,1.0
56,20.495,191,1,1,0.8392857142857143,0.8392857142857143,1.0,1.0
57,22.185000000000006,66,1,1,0.8421052631578947,0.8421052631578947,1.0,1.0
58,22.085000000000004,81,1,1,0.8448275862068966,0.8448275862068966,1.0,1.0
59,21.61500000000001,106,1,1,0.847457627118644,0.847457627118644,1.0,1.0
60,22.140000000000004,45,1,1,0.85,0.85,1.0,1.0
61,22.415000000000006,37,1,1,0.8524590163934426,0.8524590163934426,1.0,1.0
62,0.16000000000000547,200,0,1,0.8387096774193549,0.8387096774193549,1.0,1.0
63,21.36000000000001,137,1,1,0.8412698412698413,0.8412698412698413,1.0,1.0
64,22.76,18,1,1,0.84375,0.84375,1.0,1.0
65,-0.05000000000000178,200,0,1,0.8307692307692308,0.8307692307692308,1.0,1.0
66,22.585,23,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
67,22.245000000000005,47,1,1,0.835820895522388,0.835820895522388,1.0,1.0
68,21.495,83,1,1,0.8382352941176471,0.8382352941176471,1.0,1.0
69,-0.10500000000000156,200,0,1,0.8260869565217391,0.8260869565217391,1.0,1.0
70,21.220000000000002,145,1,1,0.8285714285714286,0.8285714285714286,1.0,1.0
71,21.095000000000002,125,1,1,0.8309859154929577,0.8309859154929577,1.0,1.0
72,22.015,41,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
73,21.595000000000002,84,1,1,0.8356164383561644,0.8356164383561644,1.0,1.0
74,21.915000000000003,74,1,1,0.8378378378378378,0.8378378378378378,1.0,1.0
75,22.605,36,1,1,0.84,0.84,1.0,1.0
76,22.805000000000003,44,1,1,0.8421052631578947,0.8421052631578947,1.0,1.0
77,-0.09000000000000041,200,0,1,0.8311688311688312,0.8311688311688312,1.0,1.0
78,0.5100000000000029,200,0,1,0.8205128205128205,0.8205128205128205,1.0,1.0
79,22.740000000000002,38,1,1,0.8227848101265823,0.8227848101265823,1.0,1.0
80,22.360000000000007,50,1,1,0.825,0.825,1.0,1.0
81,22.46,55,1,1,0.8271604938271605,0.8271604938271605,1.0,1.0
82,21.725,74,1,1,0.8292682926829268,0.8292682926829268,1.0,1.0
83,22.020000000000007,58,1,1,0.8313253012048193,0.8313253012048193,1.0,1.0
84,22.230000000000004,45,1,1,0.8333333333333334,0.8333333333333334,1.0,1.0
85,22.795,25,1,1,0.8352941176470589,0.8352941176470589,1.0,1.0
86,21.225000000000012,177,1,1,0.8372093023255814,0.8372093023255814,1.0,1.0
87,21.250000000000007,158,1,1,0.8390804597701149,0.8390804597701149,1.0,1.0
88,22.76,17,1,1,0.8409090909090909,0.8409090909090909,1.0,1.0
89,22.910000000000004,47,1,1,0.8426966292134831,0.8426966292134831,1.0,1.0
