episode,reward,episode_length,completed_task,success,started_task,started_on_time,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate,tonic_dopamine,mean_rpe,mean_abs_rpe
1,22.0,18,1,1,1,1,1.0,1.0,1.0,1.0,0.011012056039287633,0.11798150698343947,0.34361099137200213
2,22.0,14,1,1,1,1,1.0,1.0,1.0,1.0,0.027250772787685514,0.17292900204658523,0.39424684524536113
3,22.0,19,1,1,1,1,1.0,1.0,1.0,1.0,0.03745632737069361,0.158122023788153,0.378128708484126
4,22.0,46,1,1,1,1,1.0,1.0,1.0,1.0,0.018055183451815993,0.05449923072893574,0.3234794870356925
5,22.0,29,1,1,1,1,1.0,1.0,1.0,1.0,0.00835339186599629,0.02865259397597505,0.31493469949752584
6,22.0,17,1,1,1,1,1.0,1.0,1.0,1.0,0.013130870026471566,0.03293761646830918,0.30809385339696954
7,22.0,54,1,1,1,1,1.0,1.0,1.0,1.0,-0.010455066016311729,-0.0018101162595800997,0.2929275721825927
8,22.0,42,1,1,1,1,1.0,1.0,1.0,1.0,-0.017950922996083557,-0.011155298065441384,0.28755227037054765
9,22.0,18,1,1,1,1,1.0,1.0,1.0,1.0,-0.007113685864772694,-0.0030836189210651185,0.29275105969915166
10,22.0,25,1,1,1,1,1.0,1.0,1.0,1.0,-0.007867034171978498,-0.00468714944014346,0.2938937286620448
11,22.0,11,1,1,1,1,1.0,1.0,1.0,1.0,0.006179293500097119,0.004718590303492308,0.3004865891127866
12,22.0,44,1,1,1,1,1.0,1.0,1.0,1.0,-0.012130434023279874,-0.007858113082297443,0.29688340099346067
13,22.0,15,1,1,1,1,1.0,1.0,1.0,1.0,-0.0016332735285024599,-0.0021267727288335884,0.2999366742914376
14,22.0,17,1,1,1,1,1.0,1.0,1.0,1.0,0.004009428926723421,0.0008086185920526142,0.3034658568984451
15,22.0,18,1,1,1,1,1.0,1.0,1.0,1.0,0.014176203626114658,0.006019938417183035,0.3050659118080635
16,22.0,20,1,1,1,1,1.0,1.0,1.0,1.0,0.019222101629191808,0.008733118464963985,0.3069407804240762
17,22.0,59,1,1,1,1,1.0,1.0,1.0,1.0,-0.005153560571723236,-0.0027268255422046783,0.2985994366412514
18,22.0,55,1,1,1,1,1.0,1.0,1.0,1.0,-0.02152444597607811,-0.010674529377650295,0.29360837438513854
19,22.0,26,1,1,1,0,1.0,1.0,0.9473684210526315,0.9473684210526315,-0.025520141081727364,-0.012923537712864646,0.29578801843758284
20,22.0,10,1,1,1,1,1.0,1.0,0.95,0.95,-0.006465621243671105,-0.006306328970397532,0.3008421926994943
21,22.0,19,1,1,1,1,1.0,1.0,0.9523809523809523,0.9523809523809523,-0.0036230907815229686,-0.005454884039031469,0.3036174008581376
22,22.0,33,1,1,1,1,1.0,1.0,0.9545454545454546,0.9545454545454546,-0.0008492142219799284,-0.004901253178789388,0.3032981225813945
23,22.0,20,1,1,1,1,1.0,1.0,0.9565217391304348,0.9565217391304348,0.008767285546306097,-0.0017857535503250808,0.3039983979241839
24,22.0,36,1,1,1,1,1.0,1.0,0.9583333333333334,0.9583333333333334,0.004045738572919701,-0.0028178387405283765,0.30233037951476616
25,22.0,35,1,1,1,1,1.0,1.0,0.96,0.96,0.0006991891746737072,-0.0037773932048255333,0.30146782954079787
26,22.0,39,1,1,1,1,1.0,1.0,0.9615384615384616,0.9615384615384616,-0.009979372731247335,-0.007003250354359275,0.2993322692220687
27,22.0,20,1,1,1,1,1.0,1.0,0.9629629629629629,0.9629629629629629,-0.00017036045532729457,-0.004534538153446297,0.3008387691261584
28,22.0,19,1,1,1,1,1.0,1.0,0.9642857142857143,0.9642857142857143,0.008100570950592535,-0.0021870446143851196,0.3026309085198725
29,22.0,18,1,1,1,1,1.0,1.0,0.9655172413793104,0.9655172413793104,0.012278713090295696,-0.000940012620322287,0.3036473546914721
30,22.0,18,1,1,1,1,1.0,1.0,0.9666666666666667,0.9666666666666667,0.01750517781599608,0.0005503446639899995,0.3028683135901975
31,22.0,34,1,1,1,1,1.0,1.0,0.967741935483871,0.967741935483871,0.005827098600537985,-0.0018479584747892127,0.30287279853281
32,22.0,37,1,1,1,1,1.0,1.0,0.96875,0.96875,-0.0026739060495403685,-0.003964981898076299,0.3020421502926931
33,22.0,23,1,1,1,1,1.0,1.0,0.9696969696969697,0.9696969696969697,0.0026554910113249387,-0.0027956148181194447,0.30095305516331217
34,22.0,22,1,1,1,1,1.0,1.0,0.9705882352941176,0.9705882352941176,0.00037916269882820423,-0.003255766304590542,0.3016796954165224
35,22.0,21,1,1,1,1,1.0,1.0,0.9714285714285714,0.9714285714285714,0.010577392068170884,-0.0009654968093247958,0.30398234512778377
36,22.0,71,1,1,1,1,1.0,1.0,0.9722222222222222,0.9722222222222222,-0.02163067238140139,-0.010223493061065876,0.29959951887130754
37,22.0,16,1,1,1,1,1.0,1.0,0.972972972972973,0.972972972972973,-0.0110553690016016,-0.011815074901581003,0.29817439489364644
38,22.0,20,1,1,1,0,1.0,1.0,0.9473684210526315,0.9473684210526315,-0.004239986137388829,-0.014175722522735796,0.2980574790763857
39,22.0,22,1,1,1,1,1.0,1.0,0.9487179487179487,0.9487179487179487,-0.0008018090388238822,-0.009912335147857863,0.3016282108879091
40,22.0,40,1,1,1,1,1.0,1.0,0.95,0.95,-0.005019291426960223,-0.008376934680938898,0.30239995920181284
41,22.0,14,1,1,1,1,1.0,1.0,0.9512195121951219,0.9512195121951219,0.004988043711390305,-0.008291637268066587,0.30283291336059587
42,22.0,18,1,1,1,1,1.0,1.0,0.9523809523809523,0.9523809523809523,0.0013743377989308596,-0.008438257465362722,0.3040616405677796
43,22.0,41,1,1,1,1,1.0,1.0,0.9534883720930233,0.9534883720930233,-0.004140856753131701,-0.0029466510772706797,0.30732557945251476
44,22.0,44,1,1,1,1,1.0,1.0,0.9545454545454546,0.9545454545454546,-0.013291714076586818,-0.0026697981452942906,0.30696946626663213
45,22.0,29,1,1,1,1,1.0,1.0,0.9555555555555556,0.9555555555555556,-0.017013076636696864,-0.007267925701141451,0.30397752344131473
46,22.0,47,1,1,1,1,1.0,1.0,0.9565217391304348,0.9565217391304348,-0.025643888933351327,-0.011474333267212028,0.30030911418914796
47,22.0,14,1,1,1,1,1.0,1.0,0.9574468085106383,0.9574468085106383,-0.012744512907048587,-0.007137596225738633,0.3037241390037537
48,22.0,44,1,1,1,1,1.0,1.0,0.9583333333333334,0.9583333333333334,-0.01683532337175037,-0.011991670608520615,0.30037806865692146
49,22.0,13,1,1,1,1,1.0,1.0,0.9591836734693877,0.9591836734693877,-0.00014872895559569187,-0.008207075366973971,0.3034056820869447
50,22.0,18,1,1,1,1,1.0,1.0,0.96,0.96,0.010543194363241928,-0.00806902967453011,0.30514648321151744
51,22.0,8,1,1,1,1,1.0,1.0,0.9607843137254902,0.96,0.025927622395598565,-0.006811782894134595,0.3050810971641541
52,22.0,29,1,1,1,1,1.0,1.0,0.9615384615384616,0.96,0.02083222605363519,-0.004097783050537206,0.30894413108825686
53,22.0,17,1,1,1,1,1.0,1.0,0.9622641509433962,0.96,0.028709363318512544,0.0011087695884703628,0.31213901575088504
54,22.0,37,1,1,1,1,1.0,1.0,0.9629629629629629,0.96,0.017199277764636173,-3.707035064706332e-05,0.31103510673522955
55,22.0,38,1,1,1,1,1.0,1.0,0.9636363636363636,0.96,-0.0010141639879475313,-0.0002279888534546508,0.3107493195343018
56,22.0,25,1,1,1,1,1.0,1.0,0.9642857142857143,0.96,0.0010408517107331552,-0.00016674207687384523,0.3101902885246277
57,22.0,26,1,1,1,1,1.0,1.0,0.9649122807017544,0.96,0.004393933951372013,-0.0029318827247620475,0.30634196027755745
58,22.0,16,1,1,1,1,1.0,1.0,0.9655172413793104,0.96,0.01089494844435229,0.0007836924552916358,0.3093516027641297
59,22.0,27,1,1,1,1,1.0,1.0,0.9661016949152542,0.96,0.014908509096582185,-0.0006123758888245732,0.30954055959701543
60,22.0,21,1,1,1,1,1.0,1.0,0.9666666666666667,0.96,0.016310236364540563,-0.002510789661407568,0.3075857050132752
61,22.0,20,1,1,1,1,1.0,1.0,0.9672131147540983,0.96,0.021691117225047345,-0.0003396772384644358,0.30845763965606693
62,22.0,24,1,1,1,1,1.0,1.0,0.967741935483871,0.96,0.023455208730759368,0.002708644657134915,0.3116813752174378
63,22.0,25,1,1,1,1,1.0,1.0,0.9682539682539683,0.96,0.02084506323715053,0.0021521420288084805,0.3103602477645875
64,22.0,22,1,1,1,1,1.0,1.0,0.96875,0.96,0.022833341241769098,0.006970971488952497,0.3130092777252198
65,22.0,33,1,1,1,1,1.0,1.0,0.9692307692307692,0.96,0.015499939401535044,0.00031825197219832903,0.30770315092086803
66,22.0,56,1,1,1,1,1.0,1.0,0.9696969696969697,0.96,-0.015581839918779778,-0.007258132209778001,0.30524969707489025
67,22.0,11,1,1,1,1,1.0,1.0,0.9701492537313433,0.96,-0.0020064891480798958,-0.004134248046875168,0.30706199562072767
68,22.0,21,1,1,1,1,1.0,1.0,0.9705882352941176,0.96,0.006154442629757709,-0.001593685684204278,0.3088258199310304
69,22.0,25,1,1,1,1,1.0,1.0,0.9710144927536232,0.98,0.011028831502161362,0.0038595167350767242,0.3132146387672426
70,22.0,36,1,1,1,1,1.0,1.0,0.9714285714285714,0.98,0.007836643553713706,7.661352157574442e-05,0.31198403753280657
71,22.0,32,1,1,1,1,1.0,1.0,0.971830985915493,0.98,0.0030662051005105086,-0.0036351388168337096,0.30874160736084
72,22.0,53,1,1,1,1,1.0,1.0,0.9722222222222222,0.98,-0.014305177136378857,-0.0002747074508669023,0.3122088439941408
73,22.0,12,1,1,1,1,1.0,1.0,0.9726027397260274,0.98,-0.004892916969906956,0.0035035766410825672,0.31505023450851455
74,22.0,17,1,1,1,1,1.0,1.0,0.972972972972973,0.98,0.004978746628934844,0.003116303730010792,0.3140169104194642
75,22.0,14,1,1,1,1,1.0,1.0,0.9733333333333334,0.98,0.009016394816159172,0.0034122319602964274,0.31401627450943004
76,22.0,31,1,1,1,1,1.0,1.0,0.9736842105263158,0.98,-0.0038240979719790565,-0.0002163899612428537,0.3126467868423463
77,22.0,19,1,1,1,1,1.0,1.0,0.974025974025974,0.98,0.0010461191325904437,-0.00016529430389421407,0.3129657980346681
78,22.0,33,1,1,1,1,1.0,1.0,0.9743589743589743,0.98,0.00019370084686763656,-0.001268029193878352,0.31109926450729386
79,22.0,17,1,1,1,1,1.0,1.0,0.9746835443037974,0.98,0.009616824844187235,0.00025672660827619963,0.3105424372100831
80,22.0,62,1,1,1,1,1.0,1.0,0.975,0.98,-0.023194167004405263,-0.005054299221038967,0.30907132051467906
81,22.0,29,1,1,1,1,1.0,1.0,0.9753086419753086,0.98,-0.02986496977384299,-0.00517438789367694,0.3084523580551149
82,22.0,27,1,1,1,1,1.0,1.0,0.975609756097561,0.98,-0.020564204470394715,-0.001754580726623729,0.31032617389678974
83,22.0,10,1,1,1,1,1.0,1.0,0.9759036144578314,0.98,-0.008103663210746091,0.0006312247657773966,0.3119001350593569
84,22.0,26,1,1,1,1,1.0,1.0,0.9761904761904762,0.98,-0.0034273643110753187,0.0044357241249082585,0.3151367804908754
85,22.0,17,1,1,1,1,1.0,1.0,0.9764705882352941,0.98,0.005048642066659756,0.004654215698242009,0.3131909556579591
86,22.0,40,1,1,1,1,1.0,1.0,0.9767441860465116,0.98,-0.0077833907013090085,0.002392649860381912,0.3111663427162172
87,22.0,42,1,1,1,1,1.0,1.0,0.9770114942528736,0.98,-0.02139709508811366,-0.004348050289154216,0.305898781490326
88,22.0,17,1,1,1,1,1.0,1.0,0.9772727272727273,1.0,-0.01579262139062239,-0.00931968227386491,0.30268646457672127
89,22.0,17,1,1,1,1,1.0,1.0,0.9775280898876404,1.0,-0.005969397028290229,-0.005020725841522367,0.3048743127632142
90,22.0,15,1,1,1,1,1.0,1.0,0.9777777777777777,1.0,0.00244405376891604,-0.005607398452758932,0.3049988501739503
91,22.0,26,1,1,1,1,1.0,1.0,0.978021978021978,1.0,0.006458928901995558,-0.005986646633148329,0.3031074280357362
92,22.0,66,1,1,1,1,1.0,1.0,0.9782608695652174,1.0,-0.01794811068115482,-0.006104943656921553,0.30131367927551284
93,22.0,18,1,1,1,1,1.0,1.0,0.978494623655914,1.0,-0.016228692988580366,-0.007556923885345618,0.30113519659042365
94,22.0,19,1,1,1,1,1.0,1.0,0.9787234042553191,1.0,-0.01080410660444292,-0.005162380504608308,0.303551686153412
95,22.0,17,1,1,1,1,1.0,1.0,0.9789473684210527,1.0,0.0022487290765181994,-0.004685232105255281,0.3023473113822938
96,22.0,51,1,1,1,1,1.0,1.0,0.9791666666666666,1.0,-0.013857253389745156,-0.01152999229431165,0.2971547846603395
97,22.0,18,1,1,1,1,1.0,1.0,0.979381443298969,1.0,-0.01648130633015439,-0.011579062767028933,0.2970946702194215
98,22.0,19,1,1,1,1,1.0,1.0,0.9795918367346939,1.0,-0.005904428006430854,-0.01090635265350355,0.2985917975234987
99,22.0,38,1,1,1,1,1.0,1.0,0.9797979797979798,1.0,-0.012102577993549534,-0.013967272377014315,0.2958589029693604
100,22.0,20,1,1,1,1,1.0,1.0,0.98,1.0,-0.003101322908891011,-0.013474341640472549,0.2972793971061708
101,22.0,21,1,1,1,1,1.0,1.0,0.9801980198019802,1.0,-0.00677573972601957,-0.012682091426849493,0.29713259965896616
102,22.0,14,1,1,1,1,1.0,1.0,0.9803921568627451,1.0,0.006987025550651824,-0.010295913543701296,0.2967406108856202
103,22.0,17,1,1,1,1,1.0,1.0,0.9805825242718447,1.0,0.018037581248250136,-0.005872560806274531,0.29756961841583257
