episode,reward,episode_length,completed_task,success,started_task,started_on_time,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate,tonic_dopamine,mean_rpe,mean_abs_rpe
1,22.0,28,1,1,1,1,1.0,1.0,1.0,1.0,-0.0024569707948927572,-0.018791628569098457,0.018791628569098457
2,22.0,29,1,1,1,1,1.0,1.0,1.0,1.0,-0.00029009578228880685,-0.0032323733331602916,0.026236103798605893
3,22.0,35,1,1,1,0,1.0,1.0,0.6666666666666666,0.6666666666666666,-0.00171240871494595,-0.00547687477513176,0.021009916793959943
4,22.0,31,1,1,1,0,1.0,1.0,0.5,0.5,-0.0006157186467774245,-0.0029950580688390305,0.025841635197582768
5,22.0,28,1,1,1,1,1.0,1.0,0.6,0.6,-0.0020741390427978512,-0.004588451575709889,0.023198577316342204
6,22.0,23,1,1,1,1,1.0,1.0,0.6666666666666666,0.6666666666666666,-0.0016057831402896431,-0.003602507904214763,0.023140553176274586
7,22.0,77,1,0,1,0,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.5714285714285714,-0.0015178048730208065,-0.003404386924112223,0.02303557871540348
8,22.0,71,1,1,1,0,0.875,0.875,0.5,0.5,-0.005532467977848751,-0.005924823167531386,0.02287522302535565
9,22.0,35,1,1,1,1,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.5555555555555556,-0.004715122941441277,-0.0053621965541350404,0.02201725881943265
10,22.0,41,1,1,1,0,0.9,0.9,0.5,0.5,-0.005120791060925187,-0.005519607717442752,0.020909879239622373
11,22.0,34,1,1,1,1,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.5454545454545454,-0.002386744938985524,-0.004251652328228509,0.0218001481499178
12,22.0,14,1,1,1,1,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.5833333333333334,-0.0030852115025448946,-0.004513011000749776,0.02151065717781205
13,22.0,26,1,1,1,0,0.9230769230769231,0.9230769230769231,0.5384615384615384,0.5384615384615384,-0.004205134727031399,-0.004943435544037591,0.021069364359807538
14,22.0,46,1,1,1,0,0.9285714285714286,0.9285714285714286,0.5,0.5,-0.0041598929720132434,-0.004849057288842211,0.020584388308606424
15,22.0,51,1,1,1,0,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.4666666666666667,-0.0032958696605009767,-0.0045974628432279025,0.020791288011671356
16,22.0,57,1,1,1,1,0.9375,0.9375,0.5,0.5,-0.0068509179490191755,-0.005760767644594093,0.020879878024102006
17,22.0,18,1,1,1,0,0.9411764705882353,0.9411764705882353,0.47058823529411764,0.47058823529411764,-0.006385275920197655,-0.005649051728972193,0.021006714524983237
18,0.0,200,0,0,0,0,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.4444444444444444,-0.011731307696980256,-0.007778533267754382,0.01949693947703295
19,0.0,200,0,0,0,0,0.8421052631578947,0.8421052631578947,0.42105263157894735,0.42105263157894735,-0.014559012574291945,-0.008821912499261089,0.019065274683642202
20,22.0,46,1,1,1,1,0.85,0.85,0.45,0.45,-0.01239772992063137,-0.009301412543398328,0.01921778266306501
21,22.0,74,1,1,1,0,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.42857142857142855,-0.012493659895225828,-0.010286980076343752,0.01862983783555683
22,22.0,41,1,1,1,0,0.8636363636363636,0.8636363636363636,0.4090909090909091,0.4090909090909091,-0.007500712017647142,-0.009314083433360792,0.019576308938092552
23,22.0,166,1,0,1,0,0.8260869565217391,0.8260869565217391,0.391304347826087,0.391304347826087,-0.00980144602501831,-0.010407408585888334,0.019620514001580887
24,22.0,140,1,0,1,0,0.7916666666666666,0.7916666666666666,0.375,0.375,-0.010484355531412014,-0.01174564302433282,0.019292479461990298
25,22.0,11,1,1,1,1,0.8,0.8,0.4,0.4,-0.010167098354284908,-0.011541133657097816,0.01919865506514907
26,22.0,39,1,1,1,0,0.8076923076923077,0.8076923076923077,0.38461538461538464,0.38461538461538464,-0.009393068670771451,-0.011286600439343602,0.019450754113029687
27,22.0,42,1,1,1,0,0.8148148148148148,0.8148148148148148,0.37037037037037035,0.37037037037037035,-0.00898698860366296,-0.011439034055802039,0.018970300806802697
28,22.0,16,1,1,1,1,0.8214285714285714,0.8214285714285714,0.39285714285714285,0.39285714285714285,-0.007881688558169562,-0.011039269592496567,0.018958937404793687
29,22.0,12,1,1,1,1,0.8275862068965517,0.8275862068965517,0.41379310344827586,0.41379310344827586,-0.0051981527550139135,-0.010358706593397073,0.019461925866198725
30,22.0,46,1,1,1,1,0.8333333333333334,0.8333333333333334,0.43333333333333335,0.43333333333333335,-0.007773100007298843,-0.010859818219090812,0.019919833735679276
31,0.0,200,0,0,0,0,0.8064516129032258,0.8064516129032258,0.41935483870967744,0.41935483870967744,-0.01510995658940591,-0.01232241313427221,0.021029401307110673
32,22.0,47,1,1,1,0,0.8125,0.8125,0.40625,0.40625,-0.015226010655709304,-0.012409450632403604,0.02111643880524207
33,22.0,20,1,1,1,1,0.8181818181818182,0.8181818181818182,0.42424242424242425,0.42424242424242425,-0.01210237082094007,-0.011676296899910085,0.021285762728308327
34,0.0,200,0,0,0,0,0.7941176470588235,0.7941176470588235,0.4117647058823529,0.4117647058823529,-0.012111249334325185,-0.011431418496067635,0.01979345306113828
35,22.0,29,1,1,1,1,0.8,0.8,0.42857142857142855,0.42857142857142855,-0.009065458228344578,-0.011044415899901652,0.020066604092367924
36,22.0,123,1,0,1,1,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444,-0.009966433272662039,-0.01142697760637384,0.020454836331424302
37,22.0,58,1,1,1,0,0.7837837837837838,0.7837837837837838,0.43243243243243246,0.43243243243243246,-0.008092115523035298,-0.010315887286211365,0.02045139451988507
38,0.0,200,0,0,0,0,0.7631578947368421,0.7631578947368421,0.42105263157894735,0.42105263157894735,-0.013308068259424507,-0.012325186626403592,0.02031947219057474
39,22.0,124,1,0,1,0,0.7435897435897436,0.7435897435897436,0.41025641025641024,0.41025641025641024,-0.012359800628165548,-0.01297821853775531,0.018882921573705972
40,22.0,68,1,1,1,1,0.75,0.75,0.425,0.425,-0.011477731126128333,-0.012088708706665783,0.019825942852068693
41,22.0,20,1,1,1,0,0.7560975609756098,0.7560975609756098,0.4146341463414634,0.4146341463414634,-0.00901623128001159,-0.011541218755301088,0.020276980857830494
42,22.0,58,1,1,1,0,0.7619047619047619,0.7619047619047619,0.40476190476190477,0.40476190476190477,-0.01097782953899135,-0.01134328804211691,0.02043261881964281
43,2.0,200,0,0,1,0,0.7441860465116279,0.7441860465116279,0.3953488372093023,0.3953488372093023,-0.013857548223893859,-0.011768248434178532,0.020124613745138048
44,22.0,12,1,1,1,1,0.75,0.75,0.4090909090909091,0.4090909090909091,-0.013214004043850907,-0.011581200475804508,0.020079375250265003
45,0.0,200,0,0,0,0,0.7333333333333333,0.7333333333333333,0.4,0.4,-0.042892120555642024,-0.01887368376366794,0.025689849310554565
46,22.0,26,1,1,1,0,0.7391304347826086,0.7391304347826086,0.391304347826087,0.391304347826087,-0.03862129864662509,-0.018653988659381865,0.02536643410753459
47,22.0,120,1,0,1,0,0.723404255319149,0.723404255319149,0.3829787234042553,0.3829787234042553,-0.02628217347449914,-0.019350426914170386,0.02329767866525799
48,0.0,200,0,0,0,0,0.7083333333333334,0.7083333333333334,0.375,0.375,-0.046390455606460226,-0.02447219597734511,0.028419447728432714
49,22.0,26,1,1,1,1,0.7142857142857143,0.7142857142857143,0.3877551020408163,0.3877551020408163,-0.04279838449046296,-0.024702612487599255,0.028929196220822632
50,0.0,200,0,0,0,0,0.7,0.7,0.38,0.38,-0.051811882930706835,-0.030870958645362406,0.031788978561293334
51,22.0,23,1,1,1,0,0.7058823529411765,0.7058823529411765,0.37254901960784315,0.36,-0.047847864767019625,-0.0309448674605228,0.031535521095152945
52,22.0,33,1,1,1,0,0.7115384615384616,0.7115384615384616,0.36538461538461536,0.34,-0.0426640233880019,-0.030985376103315504,0.03157602973794565
53,22.0,50,1,1,1,1,0.7169811320754716,0.7169811320754716,0.37735849056603776,0.36,-0.03351922670837642,-0.030449552805279383,0.032160204269108365
54,22.0,200,1,0,1,0,0.7037037037037037,0.7037037037037037,0.37037037037037035,0.36,-0.022376535353115463,-0.031018037530069705,0.03264628237712895
55,22.0,32,1,1,1,1,0.7090909090909091,0.7090909090909091,0.38181818181818183,0.36,-0.019733583327259364,-0.030653408141282854,0.03319484463654226
56,22.0,31,1,1,1,1,0.7142857142857143,0.7142857142857143,0.39285714285714285,0.36,-0.017078501684879715,-0.029961135549878237,0.033287374675681346
57,22.0,27,1,1,1,1,0.7192982456140351,0.7192982456140351,0.40350877192982454,0.38,-0.016317287727280652,-0.02976975484326249,0.033116999599558765
58,22.0,70,1,1,1,0,0.7241379310344828,0.7241379310344828,0.39655172413793105,0.38,-0.013607706116545461,-0.02396708359703189,0.028641744635475332
59,22.0,51,1,1,1,0,0.7288135593220338,0.7288135593220338,0.3898305084745763,0.36,-0.01190089808665947,-0.02349489463068312,0.029109488708374556
60,22.0,16,1,1,1,1,0.7333333333333333,0.7333333333333333,0.4,0.38,-0.010976497415376854,-0.023244350257737096,0.029573591270891483
61,22.0,65,1,1,1,1,0.7377049180327869,0.7377049180327869,0.4098360655737705,0.38,-0.01306714767641699,-0.024010944794339593,0.03034018580749398
62,22.0,183,1,0,1,1,0.7258064516129032,0.7258064516129032,0.41935483870967744,0.38,-0.01691432566141177,-0.01899263028934365,0.02555505269713467
63,22.0,89,1,0,1,0,0.7142857142857143,0.7142857142857143,0.4126984126984127,0.38,-0.013893967851065359,-0.018472791559004692,0.025501123555877712
64,22.0,118,1,0,1,0,0.703125,0.703125,0.40625,0.38,-0.010471670229890307,-0.017841707636078355,0.02633135748229688
65,22.0,40,1,1,1,0,0.7076923076923077,0.7076923076923077,0.4,0.38,-0.010695944952775278,-0.012360228548233864,0.02084987839445239
66,22.0,46,1,1,1,0,0.7121212121212122,0.7121212121212122,0.3939393939393939,0.36,-0.011279956755591864,-0.012371103306533768,0.020860753152752296
67,22.0,32,1,1,1,0,0.7164179104477612,0.7164179104477612,0.3880597014925373,0.36,-0.01183443682002081,-0.012861981056281365,0.020231633073301055
68,22.0,45,1,1,1,1,0.7205882352941176,0.7205882352941176,0.39705882352941174,0.38,-0.007381814948749307,-0.011675118815735915,0.021078030135133305
69,22.0,78,1,0,1,0,0.7101449275362319,0.7101449275362319,0.391304347826087,0.38,-0.008144316356822973,-0.01092951332667144,0.02104917957057478
70,22.0,72,1,1,1,1,0.7142857142857143,0.7142857142857143,0.4,0.38,-0.005370257823104806,-0.00997488374664681,0.022213424842164386
71,22.0,84,1,0,1,1,0.704225352112676,0.704225352112676,0.4084507042253521,0.4,-0.007127833586360213,-0.010476344964758027,0.022254322052292993
72,22.0,141,1,0,1,0,0.6944444444444444,0.6944444444444444,0.4027777777777778,0.4,-0.00933052073523703,-0.01079015283222543,0.021141414407931734
73,22.0,186,1,0,1,0,0.684931506849315,0.684931506849315,0.3972602739726027,0.4,-0.010160226098484434,-0.01007201316190185,0.021017139563162344
74,2.0,200,0,0,1,0,0.6756756756756757,0.6756756756756757,0.3918918918918919,0.4,-0.0389147151796254,-0.014855754293792416,0.02570863675168948
75,22.0,44,1,1,1,0,0.68,0.68,0.38666666666666666,0.38,-0.03435441473858683,-0.014743187370535453,0.02611489117128076
76,0.0,200,0,0,0,0,0.6710526315789473,0.6710526315789473,0.3815789473684211,0.38,-0.025125417135666076,-0.017906359570566566,0.025783486219588668
77,22.0,57,1,1,1,0,0.6753246753246753,0.6753246753246753,0.37662337662337664,0.38,-0.022999488460234363,-0.018393486513290553,0.02548492360347882
78,22.0,76,1,0,1,1,0.6666666666666666,0.6666666666666666,0.38461538461538464,0.38,-0.020405112476101703,-0.018765167170669884,0.025446996179874986
79,22.0,26,1,1,1,1,0.6708860759493671,0.6708860759493671,0.3924050632911392,0.38,-0.018892110206907,-0.019323936438187958,0.02483902074210346
80,22.0,46,1,1,1,1,0.675,0.675,0.4,0.38,-0.020148427001890002,-0.019646269002812914,0.025694892922532745
81,22.0,45,1,1,1,1,0.6790123456790124,0.6790123456790124,0.4074074074074074,0.4,-0.01971200258168145,-0.020689861496794037,0.024822375839692542
82,22.0,37,1,1,1,0,0.6829268292682927,0.6829268292682927,0.4024390243902439,0.4,-0.017395264107415185,-0.020270107068936342,0.024787184097920544
83,22.0,72,1,1,1,1,0.6867469879518072,0.6867469879518072,0.40963855421686746,0.4,-0.015324082435753356,-0.01999533670337405,0.024687112374813296
84,2.0,200,0,0,1,0,0.6785714285714286,0.6785714285714286,0.40476190476190477,0.4,-0.014680282303954743,-0.02052103534946218,0.024087701134150846
85,22.0,36,1,1,1,0,0.6823529411764706,0.6823529411764706,0.4,0.38,-0.013511202198439105,-0.02060072228917852,0.024331323541468008
86,22.0,61,1,1,1,0,0.686046511627907,0.686046511627907,0.3953488372093023,0.36,-0.01231536345426706,-0.020519844020251185,0.025508952121948824
87,22.0,147,1,0,1,0,0.6781609195402298,0.6781609195402298,0.39080459770114945,0.36,-0.01317472668313635,-0.01505728222988546,0.01931911598914303
88,22.0,56,1,1,1,1,0.6818181818181818,0.6818181818181818,0.3977272727272727,0.38,-0.012763596372068732,-0.014673580137663522,0.018952676165732554
89,0.0,200,0,0,1,0,0.6741573033707865,0.6741573033707865,0.39325842696629215,0.38,-0.015309327093474323,-0.01415401161054615,0.018433107638615182
90,22.0,75,1,1,1,1,0.6777777777777778,0.6777777777777778,0.4,0.38,-0.01590232647880385,-0.01424872979952488,0.01839281871437561
91,22.0,78,1,0,1,0,0.6703296703296703,0.6703296703296703,0.3956043956043956,0.38,-0.014951790423082263,-0.013925328356446698,0.01742887882818468
92,22.0,15,1,1,1,1,0.6739130434782609,0.6739130434782609,0.40217391304347827,0.4,-0.01160429394787326,-0.01318009421089664,0.01779209659760818
93,2.0,200,0,0,1,1,0.6666666666666666,0.6666666666666666,0.40860215053763443,0.42,-0.01302754428311949,-0.013368284883443266,0.017346949482802302
94,2.0,200,0,0,1,1,0.6595744680851063,0.6595744680851063,0.4148936170212766,0.42,-0.012553346212525641,-0.012882651418098249,0.017255449373391456
95,22.0,46,1,1,1,0,0.6631578947368421,0.6631578947368421,0.4105263157894737,0.42,-0.011688752504431368,-0.013068236847990192,0.017117403844487854
96,22.0,103,1,0,1,0,0.65625,0.65625,0.40625,0.42,-0.013717512992699033,-0.013026848706649616,0.017612898118561135
97,22.0,100,1,0,1,1,0.6494845360824743,0.6494845360824743,0.41237113402061853,0.44,-0.011795644833885042,-0.012735183405806311,0.018102001458988524
98,2.0,200,0,0,1,1,0.6428571428571429,0.6428571428571429,0.41836734693877553,0.46,-0.01410575477935644,-0.012572026597103105,0.01822975121368654
99,2.0,200,0,0,1,1,0.6363636363636364,0.6363636363636364,0.42424242424242425,0.46,-0.013893519747866593,-0.01300108044501394,0.0175795527449809
100,2.0,200,0,0,1,1,0.63,0.63,0.43,0.48,-0.01505665901163499,-0.01344657147815451,0.018085564731620252
101,2.0,200,0,0,1,0,0.6237623762376238,0.6237623762376238,0.42574257425742573,0.48,-0.017495587155498604,-0.015539859561715275,0.0183742087893188
102,2.0,200,0,0,1,0,0.6176470588235294,0.6176470588235294,0.4215686274509804,0.48,-0.017317749054384945,-0.016149049804895184,0.01857814423914533
103,0.0,200,0,0,1,1,0.6116504854368932,0.6116504854368932,0.42718446601941745,0.48,-0.018255166719554156,-0.016894987175939603,0.018838992844568567
104,22.0,65,1,1,1,1,0.6153846153846154,0.6153846153846154,0.4326923076923077,0.5,-0.015431274476052576,-0.0164834032736253,0.01860351294395514
105,22.0,142,1,0,1,1,0.6095238095238096,0.6095238095238096,0.4380952380952381,0.5,-0.014662683506878136,-0.01655511313001625,0.019031646785559134
106,2.0,200,0,0,1,1,0.6037735849056604,0.6037735849056604,0.44339622641509435,0.5,-0.015231910341392717,-0.016382305037230253,0.018914554255083205
107,2.0,200,0,0,1,0,0.5981308411214953,0.5981308411214953,0.4392523364485981,0.48,-0.040049737490887874,-0.02034500032477081,0.022736679462715983
108,2.0,200,0,0,1,0,0.5925925925925926,0.5925925925925926,0.4351851851851852,0.48,-0.026756802665647738,-0.020945545041467995,0.02298390614101663
