episode,reward,episode_length,completed_task,success,started_task,started_on_time,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate,tonic_dopamine,mean_rpe,mean_abs_rpe
1,22.0,25,1,1,1,0,1.0,1.0,0.0,0.0,0.005685615830244278,0.03991424560546875,0.3038006591796875
2,22.0,28,1,1,1,0,1.0,1.0,0.0,0.0,0.011270282804483889,0.04074481748185068,0.31167944422308
3,22.0,40,1,1,1,0,1.0,1.0,0.0,0.0,0.006761125309370522,0.014998815392935148,0.3043957782048051
4,22.0,25,1,1,1,1,1.0,1.0,0.25,0.25,0.01237066388848285,0.022091315964520988,0.31542249453269827
5,22.0,23,1,1,1,1,1.0,1.0,0.4,0.4,0.0110935537021065,0.017722988805026874,0.31857398553942956
6,22.0,38,1,1,1,1,1.0,1.0,0.5,0.5,0.0003649430395156559,0.001855338751936758,0.3013962793616609
7,22.0,65,1,1,1,0,1.0,1.0,0.42857142857142855,0.42857142857142855,-0.01980873308517891,-0.020735384988003088,0.28549070436446394
8,22.0,18,1,1,1,0,1.0,1.0,0.375,0.375,-0.0027416840237981972,-0.007780155152764939,0.29952288765943685
9,22.0,63,1,1,1,1,1.0,1.0,0.4444444444444444,0.4444444444444444,-0.019019047346089675,-0.019894403310922477,0.2891631434513972
10,22.0,49,1,1,1,0,1.0,1.0,0.4,0.4,-0.022059116469588618,-0.023398983287301292,0.28773929728543696
11,22.0,139,1,0,1,1,0.9090909090909091,0.9090909090909091,0.45454545454545453,0.45454545454545453,-0.05152362592585537,-0.04303436390837731,0.26368687166805155
12,22.0,35,1,1,1,1,0.9166666666666666,0.9166666666666666,0.5,0.5,-0.03238249589660598,-0.037122394046644226,0.26989731649412724
13,22.0,24,1,1,1,1,0.9230769230769231,0.9230769230769231,0.5384615384615384,0.5384615384615384,-0.0066850226104947265,-0.02807604683029068,0.2771042360292448
14,22.0,24,1,1,1,0,0.9285714285714286,0.9285714285714286,0.5,0.5,0.014347901182080739,-0.020382621944350685,0.2852382307884677
15,22.0,59,1,1,1,0,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.01551480815170168,-0.018491247046084805,0.28450854643610596
16,22.0,36,1,1,1,1,0.9375,0.9375,0.5,0.5,0.029372143489094962,-0.01336088608384305,0.28800209696834583
17,22.0,57,1,1,1,0,0.9411764705882353,0.9411764705882353,0.47058823529411764,0.47058823529411764,0.03189302411319785,-0.010966859399316145,0.28718532980444594
18,22.0,122,1,0,1,0,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.003945523186148658,-0.016353139109995172,0.27546822230021156
19,22.0,43,1,1,1,1,0.8947368421052632,0.8947368421052632,0.47368421052631576,0.47368421052631576,0.016010935925927835,-0.013232675073964181,0.2772962543032125
20,22.0,190,1,0,1,1,0.85,0.85,0.5,0.5,-0.01301973729186083,-0.0242173490524292,0.2561910467147827
21,22.0,63,1,1,1,0,0.8571428571428571,0.8571428571428571,0.47619047619047616,0.47619047619047616,0.011652630165260455,-0.0185667028427124,0.25545732021331785
22,22.0,39,1,1,1,0,0.8636363636363636,0.8636363636363636,0.45454545454545453,0.45454545454545453,0.05069490189052721,-0.008553420066833496,0.2622671632766724
23,22.0,160,1,0,1,0,0.8260869565217391,0.8260869565217391,0.43478260869565216,0.43478260869565216,0.03498684735165984,-0.001254725456237793,0.2472719144821167
24,22.0,144,1,0,1,0,0.7916666666666666,0.7916666666666666,0.4166666666666667,0.4166666666666667,0.036684775321176644,0.014227708339691163,0.25231666803359987
25,22.0,42,1,1,1,1,0.8,0.8,0.44,0.44,0.08145988783707825,0.017439642429351806,0.2506657004356384
26,22.0,54,1,1,1,1,0.8076923076923077,0.8076923076923077,0.46153846153846156,0.46153846153846156,0.10793620325749106,0.01861798715591431,0.24769078302383424
27,22.0,18,1,1,1,0,0.8148148148148148,0.8148148148148148,0.4444444444444444,0.4444444444444444,0.16162309679394846,0.033493395328521726,0.2619981913566589
28,22.0,63,1,1,1,1,0.8214285714285714,0.8214285714285714,0.4642857142857143,0.4642857142857143,0.15761598990268216,0.04039688014984131,0.26463787746429446
29,22.0,41,1,1,1,1,0.8275862068965517,0.8275862068965517,0.4827586206896552,0.4827586206896552,0.17647322935071255,0.048369553565979,0.27005030918121337
30,22.0,70,1,1,1,1,0.8333333333333334,0.8333333333333334,0.5,0.5,0.1689857538856342,0.055397703170776365,0.2739337253570557
31,22.0,57,1,1,1,0,0.8387096774193549,0.8387096774193549,0.4838709677419355,0.4838709677419355,0.16689072798659788,0.06984747112495825,0.2846117823640816
32,22.0,69,1,1,1,1,0.84375,0.84375,0.5,0.5,0.16901726565449704,0.0725246769390069,0.2814843004285358
33,22.0,89,1,0,1,0,0.8181818181818182,0.8181818181818182,0.48484848484848486,0.48484848484848486,0.1543609422839483,0.08989308736054227,0.29208928703283893
34,22.0,32,1,1,1,0,0.8235294117647058,0.8235294117647058,0.47058823529411764,0.47058823529411764,0.18712423477194237,0.10435412650695071,0.30512181426910684
35,22.0,86,1,0,1,0,0.8,0.8,0.45714285714285713,0.45714285714285713,0.16915805094578173,0.11398399900784716,0.308300873409491
36,22.0,143,1,0,1,1,0.7777777777777778,0.7777777777777778,0.4722222222222222,0.4722222222222222,0.1328363448598869,0.11264335828600451,0.29830275792768224
37,22.0,45,1,1,1,1,0.7837837837837838,0.7837837837837838,0.4864864864864865,0.4864864864864865,0.17193131775367576,0.12916781883593648,0.3140632749348879
38,22.0,52,1,1,1,0,0.7894736842105263,0.7894736842105263,0.47368421052631576,0.47368421052631576,0.19514925946308415,0.13436714632273652,0.31684746942739
39,22.0,47,1,1,1,1,0.7948717948717948,0.7948717948717948,0.48717948717948717,0.48717948717948717,0.21298439106312117,0.14999573971354402,0.330595366141526
40,22.0,115,1,0,1,0,0.775,0.775,0.475,0.475,0.18166367021813107,0.15764120743656532,0.32803376884106544
41,22.0,36,1,1,1,1,0.7804878048780488,0.7804878048780488,0.4878048780487805,0.4878048780487805,0.21745571111028356,0.16163487900374457,0.32970427426323295
42,22.0,31,1,1,1,1,0.7857142857142857,0.7857142857142857,0.5,0.5,0.25140094207027075,0.17579121833993122,0.34502718517184255
43,22.0,89,1,0,1,1,0.7674418604651163,0.7674418604651163,0.5116279069767442,0.5116279069767442,0.23234375987041916,0.15748590382898692,0.31637761028844397
44,22.0,13,1,1,1,0,0.7727272727272727,0.7727272727272727,0.5,0.5,0.29129170524196507,0.1741133364137495,0.3320202261431841
45,22.0,99,1,0,1,1,0.7555555555555555,0.7555555555555555,0.5111111111111111,0.5111111111111111,0.23919708991292116,0.16707366224203724,0.31906587252148894
46,22.0,62,1,1,1,1,0.7608695652173914,0.7608695652173914,0.5217391304347826,0.5217391304347826,0.25176116363051987,0.17489733782724942,0.32216711350262633
47,22.0,136,1,0,1,0,0.7446808510638298,0.7446808510638298,0.5106382978723404,0.5106382978723404,0.19639078661797185,0.17957456156879198,0.31941052022541405
48,22.0,81,1,0,1,0,0.7291666666666666,0.7291666666666666,0.5,0.5,0.20889661085517913,0.1741105242423946,0.3068817630194826
49,22.0,42,1,1,1,1,0.7346938775510204,0.7346938775510204,0.5102040816326531,0.5102040816326531,0.25285803926843764,0.1935562894778559,0.3229120359158842
50,22.0,57,1,1,1,0,0.74,0.74,0.5,0.5,0.27354903165925526,0.19958159230608727,0.32694072242378025
51,22.0,83,1,0,1,1,0.7254901960784313,0.72,0.5098039215686274,0.52,0.267380265865013,0.22011285586963641,0.3421827767821378
52,22.0,54,1,1,1,0,0.7307692307692307,0.72,0.5,0.52,0.2950997832946939,0.22569626537436852,0.3428472036157618
53,22.0,113,1,0,1,1,0.7169811320754716,0.7,0.5094339622641509,0.54,0.2536360484826182,0.20581202161771944,0.312619898054807
54,22.0,78,1,0,1,0,0.7037037037037037,0.68,0.5,0.52,0.2551108477164049,0.22477393548720284,0.3293591571588186
