episode,episode_reward,episode_length,completed_task,success,started_task,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate,tonic_dopamine,mean_rpe,mean_abs_rpe,entropy_coef,learning_rate,schedule_progress
1,-2.735031250000001,200,0,0,1,0.0,0.0,1.0,1.0,-0.001073213103821785,-0.0013352927239611745,0.006165432040579617,0.08,0.0002,0.0
2,20.0648125,159,1,0,1,0.0,0.0,1.0,1.0,-0.000388318867787518,-0.0006677465270789636,0.005290890624227837,0.08,0.0002,0.0
3,-0.045656250000002105,200,0,0,1,0.0,0.0,1.0,1.0,0.0010940754110979607,0.0003743313439523598,0.006357895753517986,0.08,0.0002,0.0
4,20.3795,147,1,0,1,0.0,0.0,1.0,1.0,0.0028592433585769533,0.0008715648737026341,0.007134361158286039,0.08,0.0002,0.0
5,-0.565468750000002,200,0,0,1,0.0,0.0,1.0,1.0,-7.085588472649431e-05,0.0003013565062666538,0.00692053318201517,0.08,0.0002,0.0
6,20.348875,160,1,0,1,0.0,0.0,1.0,1.0,0.02964430325746506,0.006114399479003623,0.012791628970531746,0.08,0.0002,0.0
7,-0.6604374999999991,200,0,0,1,0.0,0.0,1.0,1.0,0.012912630713214251,0.006745895000989549,0.013561822493677027,0.08,0.0002,0.0
8,-0.22150000000000175,200,0,0,1,0.0,0.0,1.0,1.0,0.006073282933153077,0.006715810526045971,0.013945274565485307,0.08,0.0002,0.0
9,-2.979999999999995,200,0,0,1,0.0,0.0,1.0,1.0,0.0011743192901700371,0.006743983907369056,0.01363583592369696,0.08,0.0002,0.0
10,-0.9546875000000017,200,0,0,1,0.0,0.0,1.0,1.0,0.00038487755255903596,0.006258656287542635,0.01306542072838647,0.08,0.0002,0.0
11,-0.4760312500000018,200,0,0,1,0.0,0.0,1.0,1.0,-0.0005423453005426439,0.00031011761140553064,0.006993782062525952,0.08,0.0002,0.0
12,-2.556124999999997,200,0,0,1,0.0,0.0,1.0,1.0,-0.0013841353779557345,-0.0003921299552544042,0.005951416220143529,0.08,0.0002,0.0
13,-2.321625,200,0,0,1,0.0,0.0,1.0,1.0,-0.0017971487904745545,-0.0012974239845366356,0.005174113146828404,0.08,0.0002,0.0
14,-2.8299999999999996,200,0,0,1,0.0,0.0,1.0,1.0,-0.0025091579627588676,-0.0014940860280839843,0.005681205059408967,0.08,0.0002,0.0
15,-2.4964062499999966,200,0,0,1,0.0,0.0,1.0,1.0,-0.002060413017823391,-0.0018778149787176516,0.005505996765925374,0.08,0.0002,0.0
16,-0.41200000000000175,200,0,0,1,0.0,0.0,1.0,1.0,-0.0011580885068772197,-0.0018132815087519702,0.005437949441962701,0.08,0.0002,0.0
17,21.17234375,99,1,0,1,0.0,0.0,1.0,1.0,-0.00034577266799557205,-0.0015576939220845816,0.005458047951695334,0.08,0.0002,0.0
18,-0.5811250000000006,200,0,0,1,0.0,0.0,1.0,1.0,-0.0010899289123312004,-0.0014855398287763819,0.005620049010380171,0.08,0.0002,0.0
19,-0.7455937500000012,200,0,0,1,0.0,0.0,1.0,1.0,-0.0007728706736840865,-0.0012155256158439443,0.005615077704074793,0.08,0.0002,0.0
20,20.5875,132,1,0,1,0.0,0.0,1.0,1.0,-0.0006282262381476305,-0.0006977264077868313,0.005126698011299596,0.08,0.0002,0.0
21,-0.35262500000000185,200,0,0,1,0.0,0.0,1.0,1.0,9.815476781165979e-05,-0.0001713823601603508,0.006039426520466805,0.08,0.0002,0.0
22,-2.815687499999998,200,0,0,1,0.0,0.0,1.0,1.0,-0.0006885640563256255,-0.0002213147267466411,0.006055286875343882,0.08,0.0002,0.0
23,21.57140625,78,1,0,1,0.0,0.0,1.0,1.0,0.001523334809268602,0.00025044997385703026,0.0066341175327543165,0.08,0.0002,0.0
24,-3.501250000000002,200,0,0,1,0.0,0.0,1.0,1.0,-0.0006725437113250624,0.0001389832803979516,0.007005509137175977,0.08,0.0002,0.0
25,-2.7757812499999983,200,0,0,1,0.0,0.0,1.0,1.0,-0.0003594228559268427,0.00017944364831782878,0.006736258847406134,0.08,0.0002,0.0
26,-0.7399999999999997,200,0,0,1,0.0,0.0,1.0,1.0,0.0010559899568244825,0.000278753480524756,0.007157598615973256,0.08,0.0002,0.0
27,-2.615843750000001,200,0,0,1,0.0,0.0,1.0,1.0,-0.00035412196671369157,0.00036362695426214487,0.007056093140388839,0.08,0.0002,0.0
28,-0.5317500000000014,200,0,0,1,0.0,0.0,1.0,1.0,-0.0007801759524170321,-0.00021092853369191288,0.006836497426498681,0.08,0.0002,0.0
29,-3.0981874999999968,200,0,0,1,0.0,0.0,1.0,1.0,-0.0008866121155485848,-0.0001309632376069203,0.006465190710150637,0.08,0.0002,0.0
30,-0.8100000000000012,200,0,0,1,0.0,0.0,1.0,1.0,-0.0014552118389649141,-0.00032353708939626815,0.006521593191195279,0.08,0.0002,0.0
31,20.43209375,144,1,0,1,0.0,0.0,1.0,1.0,-0.0009792788775951817,-0.001012927129631862,0.006248618785059079,0.08,0.0002,0.0
32,-2.343999999999998,200,0,0,1,0.0,0.0,1.0,1.0,-0.0006362458260331026,-0.001077492288663052,0.005914518217905424,0.08,0.0002,0.0
33,-3.4598437500000014,200,0,0,1,0.0,0.0,1.0,1.0,-0.001431032259813785,-0.0012531060736218932,0.005627241247479106,0.08,0.0002,0.0
34,0.17149999999999885,200,0,0,1,0.0,0.0,1.0,1.0,0.0006683840761707968,-0.000703816498775268,0.006126666139025474,0.08,0.0002,0.0
35,-0.7482812499999987,200,0,0,1,0.0,0.0,1.0,1.0,0.0005492329849036894,-0.0004570010038005421,0.006067376985578449,0.08,0.0002,0.0
36,22.137125,51,1,1,1,0.027777777777777776,0.0,1.0,1.0,0.03401406583048369,0.006478551513500861,0.01292767029350216,0.08,0.0002,0.0
37,20.72075,158,1,0,1,0.02702702702702703,0.0,1.0,1.0,0.017332241293913624,0.007170566867091111,0.012987945255837985,0.08,0.0002,0.0
38,20.252875,181,1,0,1,0.02631578947368421,0.0,1.0,1.0,0.03705811329790827,0.013149801822481095,0.019459562675925555,0.08,0.0002,0.0
39,20.290249999999997,192,1,0,1,0.02564102564102564,0.0,1.0,1.0,0.046634301860472925,0.02000567216392665,0.026887592081315234,0.08,0.0002,0.0
40,-0.6462500000000014,200,0,0,1,0.025,0.0,1.0,1.0,0.01624502340193846,0.019715167799047778,0.026639255362548284,0.08,0.0002,0.0
41,-2.6325624999999975,200,0,0,1,0.024390243902439025,0.0,1.0,1.0,0.0052760141814482886,0.01925479267409537,0.026785774373798633,0.08,0.0002,0.0
42,-3.2810625,200,0,0,1,0.023809523809523808,0.0,1.0,1.0,0.0017312212649989226,0.011759291181340814,0.019610409105196597,0.08,0.0002,0.0
43,-2.9636562500000005,200,0,0,1,0.023255813953488372,0.0,1.0,1.0,0.0005717112784255115,0.011840447368682363,0.01952865634241607,0.08,0.0002,0.0
44,20.272624999999998,195,1,0,1,0.022727272727272728,0.0,1.0,1.0,0.03043383819520355,0.011390734681044705,0.01854955867945682,0.08,0.0002,0.0
45,-0.17843750000000125,200,0,0,1,0.022222222222222223,0.0,1.0,1.0,0.01154142565826779,0.005533817418734543,0.012314707408309915,0.08,0.0002,0.0
46,-0.6893125000000013,200,0,0,1,0.021739130434782608,0.0,1.0,1.0,0.003543859968303441,0.005531557996408082,0.01252083857532125,0.08,0.0002,0.0
47,21.005312500000002,162,1,0,1,0.02127659574468085,0.0,1.0,1.0,0.03156584618065639,0.011714618570520542,0.018394315390032716,0.08,0.0002,0.0
48,-0.49950000000000194,200,0,0,1,0.020833333333333332,0.0,1.0,1.0,0.012470388613215271,0.01209426979010459,0.018948956048232504,0.08,0.0002,0.0
49,-2.973468750000001,200,0,0,1,0.02040816326530612,0.0,1.0,1.0,0.0037914776464958843,0.012065845961682498,0.01896027672989294,0.08,0.0002,0.0
50,-3.013437500000001,200,0,0,1,0.02,0.0,1.0,1.0,0.0016140983662205719,0.005889854390872642,0.01248205559910275,0.08,0.0002,0.0
51,-3.1402187500000003,200,0,0,1,0.0196078431372549,0.0,1.0,1.0,-0.0002323144468559502,0.005839752512518316,0.012321169213857501,0.08,0.0002,0.0
52,20.3635,141,1,0,1,0.019230769230769232,0.0,1.0,1.0,0.030708173214672445,0.012216301468200982,0.018189134772866964,0.08,0.0002,0.0
53,-0.07993750000000144,200,0,0,1,0.018867924528301886,0.0,1.0,1.0,0.011659708984907043,0.00567914681439288,0.011477892678929492,0.08,0.0002,0.0
54,-2.8933125000000004,200,0,0,1,0.018518518518518517,0.0,1.0,1.0,0.0026680132453008078,0.005488537978613749,0.011941372226690873,0.08,0.0002,0.0
55,21.69296875,81,1,0,1,0.01818181818181818,0.0,1.0,1.0,0.004056712626482988,0.006097496934002265,0.012577840872341766,0.08,0.0002,0.0
56,-2.81675,200,0,0,1,0.017857142857142856,0.0,1.0,1.0,0.0013996061336706157,0.005934123652521521,0.01254237121110782,0.08,0.0002,0.0
57,20.47609375,154,1,0,1,0.017543859649122806,0.0,1.0,1.0,0.0021158342475503813,0.006811160085489974,0.01320146212191321,0.08,0.0002,0.0
58,-3.076375000000001,200,0,0,1,0.017241379310344827,0.0,1.0,1.0,-0.00017792072621495078,0.00045721159619279203,0.007177353757200763,0.08,0.0002,0.0
59,-2.900000000000001,200,0,0,1,0.01694915254237288,0.0,1.0,1.0,-0.0009927306174243847,0.00013058347860351205,0.007353486971464008,0.08,0.0002,0.0
60,-0.8900000000000003,200,0,0,1,0.016666666666666666,0.0,1.0,1.0,-0.0003236526270259524,5.982812470756471e-05,0.006474557418609038,0.08,0.0002,0.0
61,-2.6369062500000013,200,0,0,1,0.01639344262295082,0.0,1.0,1.0,-0.0012764199966977462,-0.0002924760871101171,0.006752934373216704,0.08,0.0002,0.0
62,20.3591875,142,1,0,1,0.016129032258064516,0.0,1.0,1.0,-0.0009249369119054553,-0.001036231074249372,0.006357378225540743,0.08,0.0002,0.0
63,-0.8169687500000008,200,0,0,1,0.015873015873015872,0.0,1.0,1.0,0.0003114501027973778,-0.000386955794878304,0.006900201169308275,0.08,0.0002,0.0
64,-0.6440000000000017,200,0,0,1,0.015625,0.0,1.0,1.0,-0.0012218302333617537,-0.0006189479099120945,0.00680722688534297,0.08,0.0002,0.0
65,-3.012968749999999,200,0,0,1,0.015384615384615385,0.0,1.0,1.0,-0.001253304061927024,-0.0007913843421265482,0.006662527163978666,0.08,0.0002,0.0
66,-3.2229375000000005,200,0,0,1,0.015151515151515152,0.0,1.0,1.0,-0.0013430763906568505,-0.000980467922752723,0.006381725916871801,0.08,0.0002,0.0
67,-0.08965625000000133,200,0,0,1,0.014925373134328358,0.0,1.0,1.0,0.0026883145721168255,-5.2138203056529166e-05,0.007013456310844049,0.08,0.0002,0.0
68,-0.9928749999999997,200,0,0,1,0.014705882352941176,0.0,1.0,1.0,0.0022794635365793793,-0.00018214646237902344,0.007135510992957279,0.08,0.0002,0.0
69,-0.41146875000000094,200,0,0,1,0.014492753623188406,0.0,1.0,1.0,0.001951083144174752,0.000890475713647902,0.007610037076286972,0.08,0.0002,0.0
70,-0.1559375000000015,200,0,0,1,0.014285714285714285,0.0,1.0,1.0,-0.0003690866704685273,0.0007498480901122094,0.007550777856260538,0.08,0.0002,0.0
71,-3.1655624999999996,200,0,0,1,0.014084507042253521,0.0,1.0,1.0,-0.0011259087558148316,0.0008488468441646546,0.00804941477556713,0.08,0.0002,0.0
72,-0.7772500000000021,200,0,0,1,0.013888888888888888,0.0,1.0,1.0,-0.0001287988640393082,0.0003511061503086239,0.006887058801716193,0.08,0.0002,0.0
73,21.0763125,114,1,0,1,0.0136986301369863,0.0,1.0,1.0,6.518322115015464e-05,0.0005525153712369502,0.006797527545597404,0.08,0.0002,0.0
74,-0.30656250000000146,200,0,0,1,0.013513513513513514,0.0,1.0,1.0,-0.0007684098446279703,-0.0006685363694559782,0.005548260674579069,0.08,0.0002,0.0
75,-2.9199999999999995,200,0,0,1,0.013333333333333334,0.0,1.0,1.0,-0.0009727681019390963,-0.0006591854004655034,0.005870341679314151,0.08,0.0002,0.0
76,-2.870000000000001,200,0,0,1,0.013157894736842105,0.0,1.0,1.0,-0.0008656684518630838,-0.0007462027112487703,0.005527956286678091,0.08,0.0002,0.0
77,-0.4470312500000015,200,0,0,1,0.012987012987012988,0.0,1.0,1.0,-0.00041059312139545646,-0.0006876649155747145,0.005443060955731199,0.08,0.0002,0.0
78,-2.3523124999999974,200,0,0,1,0.01282051282051282,0.0,1.0,1.0,-0.0015129654006982621,-0.0011123641282320023,0.005543368399143219,0.08,0.0002,0.0
79,-2.922531250000001,200,0,0,1,0.012658227848101266,0.0,1.0,1.0,-0.0007530161865878504,-0.0008454867880791425,0.005995981613174081,0.08,0.0002,0.0
80,-2.755,200,0,0,1,0.0125,0.0,1.0,1.0,-0.00031368780372649643,-0.0006622506771236658,0.00546020227856934,0.08,0.0002,0.0
81,20.72728125,149,1,0,1,0.012345679012345678,0.0,1.0,1.0,0.02966417313502206,0.005391648894408718,0.01133924826583825,0.08,0.0002,0.0
82,0.05706250000000013,200,0,0,1,0.012195121951219513,0.0,1.0,1.0,0.012507172477324057,0.005816446698503569,0.012004111653892324,0.08,0.0002,0.0
83,-0.19796875000000136,200,0,0,1,0.012048192771084338,0.0,1.0,1.0,0.003865270687778944,0.005865968040190637,0.011855819324962795,0.08,0.0002,0.0
84,20.89425,134,1,0,1,0.011904761904761904,0.0,1.0,1.0,0.03181718162629163,0.011900170435896144,0.01787935373489745,0.08,0.0002,0.0
85,22.109375,29,1,1,1,0.023529411764705882,0.0,1.0,1.0,0.027638793018493212,0.011912987120216713,0.01764874325064011,0.08,0.0002,0.0
86,-0.44075000000000103,200,0,0,1,0.023255813953488372,0.0,1.0,1.0,0.01105041837690537,0.012442462804494426,0.01838249825895764,0.08,0.0002,0.0
