run,alive_neurons,start_rate,success_rate,n_episodes,first_episode,last_episode
parkinsons,128,1.0,0.7333333333333333,30,1,30
parkinsons,122,0.8666666666666667,0.7333333333333333,30,31,60
parkinsons,116,0.9,0.7666666666666667,30,61,90
parkinsons,110,0.9,0.8,30,91,120
parkinsons,104,0.9,0.8,30,121,150
parkinsons,98,0.9333333333333333,0.7666666666666667,30,151,180
parkinsons,92,0.9,0.9333333333333333,30,181,210
parkinsons,86,0.9,0.8,30,211,240
parkinsons,80,1.0,0.8666666666666667,30,241,270
parkinsons,74,0.8666666666666667,0.7666666666666667,30,271,300
parkinsons,68,0.9,0.8,30,301,330
parkinsons,62,0.8666666666666667,0.8333333333333334,30,331,360
parkinsons,56,0.9,0.8,30,361,390
parkinsons,50,0.8,0.7333333333333333,30,391,420
parkinsons,44,0.9333333333333333,0.8666666666666667,30,421,450
parkinsons,39,0.8872727272727273,0.8,550,451,1000
parkinsons_online,128,0.4666666666666667,0.9333333333333333,15,1,15
parkinsons_online,122,0.5333333333333333,0.7333333333333333,15,16,30
parkinsons_online,116,0.5333333333333333,0.6,15,31,45
parkinsons_online,110,0.4666666666666667,0.3333333333333333,15,46,60
parkinsons_online,104,0.5333333333333333,0.2,15,61,75
parkinsons_online,98,0.5333333333333333,0.26666666666666666,15,76,90
parkinsons_online,92,0.6666666666666666,0.2,15,91,105
parkinsons_online,86,0.26666666666666666,0.26666666666666666,15,106,120
parkinsons_online,80,0.3333333333333333,0.5333333333333333,15,121,135
parkinsons_online,74,0.4666666666666667,0.2,15,136,150
parkinsons_online,68,0.2,0.3333333333333333,15,151,165
parkinsons_online,62,0.4666666666666667,0.13333333333333333,15,166,180
parkinsons_online,56,0.0,0.3333333333333333,15,181,195
parkinsons_online,50,0.26666666666666666,0.06666666666666667,15,196,210
parkinsons_online,44,0.2,0.06666666666666667,15,211,225
parkinsons_online,39,0.17290322580645162,0.05935483870967742,775,226,1000
