episode,episode_reward,episode_length,completed_task,success,started_task,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate,tonic_dopamine,mean_rpe,mean_abs_rpe,entropy_coef,learning_rate,schedule_progress
1,-0.155062500000002,200,0,0,1,0.0,0.0,1.0,1.0,-0.002524563898191246,0.0003964561969041824,0.07823050491511822,0.08,0.0002,0.0
2,-0.7300000000000004,200,0,0,1,0.0,0.0,1.0,1.0,0.001442265569371165,-0.0009599779546260834,0.07802080079913139,0.08,0.0002,0.0
3,0.11473749999999858,200,0,0,1,0.0,0.0,1.0,1.0,-0.0009003690635318244,2.0501588781674703e-05,0.07781862691044808,0.08,0.0002,0.0
4,-2.6250499999999977,200,0,0,1,0.0,0.0,1.0,1.0,-0.007131774997582405,-0.0028644165489822627,0.07650560290552676,0.08,0.0002,0.0
5,-2.8849375000000004,200,0,0,1,0.0,0.0,1.0,1.0,-0.01034891141751494,-0.0047568283155560494,0.07517873211950064,0.08,0.0002,0.0
6,-2.5950750000000014,200,0,0,1,0.0,0.0,1.0,1.0,-0.009905679571281632,-0.006918356977403164,0.07387356562167406,0.08,0.0002,0.0
7,-2.6050875000000007,200,0,0,1,0.0,0.0,1.0,1.0,-0.008866565173285757,-0.008400540679693222,0.07197203782200813,0.08,0.0002,0.0
8,22.1541,66,1,1,1,0.125,0.0,1.0,1.0,0.10573559521863059,0.01213886985182762,0.0919862210303545,0.08,0.0002,0.0
9,-2.8548875000000007,200,0,0,1,0.1111111111111111,0.0,1.0,1.0,0.03326547173046236,0.012826904699206353,0.09101900026202202,0.08,0.0002,0.0
10,-0.7300000000000003,200,0,0,1,0.1,0.0,1.0,1.0,0.013062573243634357,0.015078441753983497,0.09127949585020542,0.08,0.0002,0.0
11,22.6589,25,1,1,1,0.18181818181818182,0.0,1.0,1.0,0.1257511468198062,0.038183308094739916,0.11321670210361481,0.08,0.0002,0.0
12,-2.844849999999998,200,0,0,1,0.16666666666666666,0.0,1.0,1.0,0.03977782015682696,0.03831492972373962,0.11354981544613839,0.08,0.0002,0.0
13,0.11386250000000003,200,0,0,1,0.15384615384615385,0.0,1.0,1.0,0.015241911817758661,0.04176280867308378,0.11673866324871779,0.08,0.0002,0.0
14,-0.545175,200,0,0,1,0.14285714285714285,0.0,1.0,1.0,0.010489432042469932,0.020981319159269332,0.09754508408904075,0.08,0.0002,0.0
15,-0.3555625000000011,200,0,0,1,0.13333333333333333,0.0,1.0,1.0,0.0038588187745847765,0.02364403894543648,0.10010328435897828,0.08,0.0002,0.0
16,-0.12080000000000152,200,0,0,1,0.125,0.0,1.0,1.0,0.0028863050792177335,0.0006908875107765198,0.0787238384783268,0.08,0.0002,0.0
